"","measure","tech","control","t_value","effect","p_value","standard_error","number","rsqrd"
"21","selfesteem","tech_30m_we",0,-2.02073660777762,-0.135207198661641,0.0442164270205047,0.0669098575941279,295,0.0137448836315639
"22","wellbeing","tech_30m_we",0,-1.35121030140355,-0.0885027717782372,0.177670476649507,0.0654988876907662,295,0.00619270589231865
"23","selfesteem","sr_tech",1,1.04740514876212,0.0370923385428557,0.295240142471075,0.0354135537587278,777,0.00141720929560406
"24","wellbeing","sr_tech",1,-0.250481703785155,-0.0087194068631942,0.802281497214536,0.0348105539503719,776,8.12642296960018e-05
"25","selfesteem","tech_weekday_d",1,0.862538073942143,0.0572943916595103,0.389089765260641,0.0664253479242395,300,0.00250711724374252
"26","wellbeing","tech_weekday_d",1,0.0525787318847935,0.00345154881484828,0.958103029052545,0.065645341588136,300,9.33951765977278e-06
"27","selfesteem","tech_weekend_d",1,-0.696542032813461,-0.0471108418640435,0.486645443732761,0.0676353179631589,295,0.00166447851236671
"28","wellbeing","tech_weekend_d",1,0.622567714516595,0.0405605010458631,0.534056172054982,0.0651503444526626,295,0.001330154652141
"29","selfesteem","tech_weekday_c",1,-0.166034720543386,-0.0115144063164327,0.868253886932534,0.0693493883613577,274,0.000102091533387603
"30","wellbeing","tech_weekday_c",1,-0.53293159343326,-0.0369361879342507,0.594519290877629,0.0693075591490079,274,0.00105080606465384
"31","selfesteem","tech_weekend_c",1,-0.896534849381928,-0.0654902495573081,0.370751318330838,0.0730481917155336,279,0.00291429925832306
"32","wellbeing","tech_weekend_c",1,-0.320592062191139,-0.0224328862776475,0.748763029566778,0.0699733054035281,279,0.000373603169741108
"33","selfesteem","tech_2hr_wd",1,-0.645125032858228,-0.0429905840021963,0.519345870405063,0.0666391502616577,300,0.00140406066620078
"34","wellbeing","tech_2hr_wd",1,-1.73790702245002,-0.113810832567695,0.0832671871084009,0.0654872965570101,300,0.0101007209490372
"35","selfesteem","tech_1hr_wd",1,0.543259482749256,0.0361264404574769,0.587360026992026,0.0664994198990379,300,0.000996070589262841
"36","wellbeing","tech_1hr_wd",1,-1.56623141555501,-0.102429491639618,0.11836286050295,0.0653986956348473,300,0.00821931822619854
"37","selfesteem","tech_30m_wd",1,0.760179640078877,0.0508666406220249,0.447752270245526,0.0669139739348279,300,0.00194846998927817
"38","wellbeing","tech_30m_wd",1,-1.7075472303315,-0.112334084623258,0.0887689321167033,0.0657868096576451,300,0.00975431324846753
"39","selfesteem","tech_2hr_we",1,-1.34375561258298,-0.0907870138572227,0.180074232062875,0.0675621467230271,295,0.00616681736369526
"40","wellbeing","tech_2hr_we",1,-0.55843777166643,-0.0364300166654179,0.576974908247613,0.0652355884823252,295,0.00107051169351821
"41","selfesteem","tech_1hr_we",1,-2.21575895104729,-0.148820109261109,0.0274817902528497,0.0671643949314829,295,0.0165915128564205
"42","wellbeing","tech_1hr_we",1,-1.75459199846665,-0.113850131711652,0.0803815790033747,0.0648869548083804,295,0.0104686065341531
"43","selfesteem","tech_30m_we",1,-1.96588979939897,-0.132236506491829,0.0502618894953862,0.0672654726283525,295,0.0131067652581439
"44","wellbeing","tech_30m_we",1,-1.19497479388914,-0.0777362120079842,0.233069866962043,0.0650525955907285,295,0.00488313338709576
