"","measure","tech","control","t_value","effect","p_value","standard_error","number","rsqrd"
"19","sdq","tech_1hr_we",0,-0.393380672412543,-0.0112206067838775,0.694101249855538,0.0285235334899989,1335,0.000116076812252256
"20","wellbeing","tech_1hr_we",0,0.52473442051894,0.015386550862346,0.599855604495275,0.0293225491995158,1327,0.000207765286560564
"21","sdq","tech_30m_we",0,-1.53963639578916,-0.0438794211651624,0.123886342237687,0.028499859632554,1335,0.00177514799550476
"22","wellbeing","tech_30m_we",0,-0.614400857179706,-0.0180186752271975,0.539055951065605,0.0293272299617369,1327,0.000284815772565287
"23","sdq","sr_tech",1,-12.7815601091945,-0.187717697671414,8.83781709403726e-37,0.0146866028925826,4562,0.0346018927516517
"24","wellbeing","sr_tech",1,-7.49357485574181,-0.111535895896894,8.0065126021117e-14,0.0148842038738602,4557,0.0121830748572676
"25","sdq","tech_weekday_d",1,0.120975262714174,0.00208989014098745,0.903718144152579,0.0172753511263307,3238,4.52533950539416e-06
"26","wellbeing","tech_weekday_d",1,-1.6699331367873,-0.0285582486659437,0.095029548325935,0.0171014324087762,3232,0.000863156634622289
"27","sdq","tech_weekend_d",1,1.0904793238958,0.0312096383938713,0.275699429745268,0.0286201101753797,1335,0.000892624864996314
"28","wellbeing","tech_weekend_d",1,0.313652493127321,0.00921384674325679,0.753834430147659,0.0293759716410627,1327,7.43541735740382e-05
"29","sdq","tech_weekday_c",1,-3.85391848499996,-0.0698739850259841,0.000118780488311132,0.0181306338724974,2884,0.00513072314601315
"30","wellbeing","tech_weekday_c",1,-3.10734372096253,-0.0563852994455082,0.00190620521702456,0.0181458198734584,2879,0.003347222819394
"31","sdq","tech_weekend_c",1,-2.24887928386293,-0.0651492666436432,0.0246923564431762,0.0289696592925768,1264,0.00399780895426681
"32","wellbeing","tech_weekend_c",1,-2.57171831341204,-0.0768336807824592,0.0102340539338196,0.0298763983527106,1256,0.00525477745807372
"33","sdq","tech_2hr_wd",1,0.302095842100862,0.00522500758047639,0.76259842776771,0.0172958606253571,3238,2.82187144469113e-05
"34","wellbeing","tech_2hr_wd",1,-1.0932882835616,-0.0187194035131742,0.274348825548232,0.0171221111527804,3232,0.000370147720283785
"35","sdq","tech_1hr_wd",1,0.25239284147024,0.00436241234929115,0.80075347211433,0.0172842158433623,3238,1.9697245413911e-05
"36","wellbeing","tech_1hr_wd",1,-0.625706146343409,-0.0107040307885029,0.531551935873651,0.0171071210520413,3232,0.000121270354162429
"37","sdq","tech_30m_wd",1,-0.957551402614722,-0.0165803846673304,0.338360590495761,0.0173153990710634,3238,0.000283439950905898
"38","wellbeing","tech_30m_wd",1,-1.56077652768642,-0.0267441181547617,0.118674514515152,0.0171351360558998,3232,0.000754085006406108
"39","sdq","tech_2hr_we",1,-0.0190231852613649,-0.000543578478940917,0.984825460760236,0.0285745247955345,1335,2.71886911396035e-07
"40","wellbeing","tech_2hr_we",1,1.31216933939302,0.0385344604486387,0.189690617550023,0.0293669873939165,1327,0.0012997358315929
"41","sdq","tech_1hr_we",1,-0.213172430778311,-0.00608645128516653,0.831225116592958,0.028551775025243,1335,3.41404461436675e-05
"42","wellbeing","tech_1hr_we",1,0.369837249234318,0.0108618566738156,0.71156295068563,0.0293692879673509,1327,0.000103375246634423
"43","sdq","tech_30m_we",1,-1.32648560805371,-0.0378895308820177,0.184906448769349,0.0285638461902434,1335,0.00132024118664156
"44","wellbeing","tech_30m_we",1,-0.791459293035807,-0.0232684908182239,0.428817890371973,0.0293994789409481,1327,0.000473251220159596
